date,text,rating,translated_text
2022-01-20,"It keeps showing error 01100 though I have upgraded my Iphone 7 to ios 15.2.1, reinstall the app and restart the device.. please fix it",2,"Itu terus menunjukkan kesalahan 01100 meskipun saya telah memutakhirkan Iphone 7 saya ke ios 15.2.1, instal ulang aplikasi dan mulai ulang perangkat.. tolong perbaiki"
2020-09-05,Why no Apple TV app???,4,Mengapa tidak ada aplikasi Apple TV???
2020-11-03,"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really 🤨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2",1,"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really 🤨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2"
2022-06-01,Competitve price than net,5,Harga kompetitif dari net
2020-09-07,"Gan,... fitur airplay dong di tambahkan.. biar mantull gan",3,"Gan,... fitur airplay dong di tambahkan.. biar mantull gan"
2020-09-05,Tidak ada film Mulan,2,Tidak ada film Mulan
2020-10-03,Thanks for finally providing the Apple TV app but please fix the log-in. It gets stuck after the OTP entry.,1,"Terima kasih akhirnya menyediakan aplikasi Apple TV, tetapi harap perbaiki proses masuknya. Itu macet setelah entri OTP."
2020-09-10,"Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun",1,"Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun"
2020-09-07,Tolong ditambah Chromecast ya.,3,Tolong ditambah Chromecast ya.
2022-08-25,Pleaseee for disney hotstar can you make a feature for share to instagram story? Like netflix? is sooo gooddd to share a movie/series on our instagram story but there is a sugn like play on disney plus hotstar! Sorry for my english but i hope you understand me!!😡,3,"Tolong untuk Disney Hotstar, bisakah Anda membuat fitur untuk berbagi ke cerita Instagram? Suka Netflix? Senang sekali bisa membagikan film/serial di cerita instagram kami tetapi ada yang menyarankan pemutaran di Disney Plus Hotstar! Maaf untuk bahasa Inggris saya tetapi saya harap Anda mengerti saya!!😡"
2020-09-17,Bagus” film nya tp kurang lengkap :’(,5,Bagus” film nya tp kurang lengkap :’(
2022-01-27,"Hotstar? more like Hotscam, cant even access the damn thing cos it keeps cancelling itself out when i try to log in no otp no ones calling for giving me the code",1,"Bintang panas? lebih mirip Hotscam, bahkan tidak bisa mengaksesnya karena terus membatalkan sendiri ketika saya mencoba masuk, tidak ada otp tidak ada yang menelepon untuk memberi saya kode"
2022-04-15,"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit",1,"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit"
2020-09-04,So I'm succeed in signing up disney+ indonesia in sept 4th!🎉tho little something's bothering me that is no casting feature from iphone to chromecast yet,3,Jadi saya berhasil mendaftar disney+ indonesia pada tanggal 4 September!🎉ada sesuatu yang mengganggu saya yaitu belum ada fitur transmisi dari iphone ke chromecast
2022-08-31,gw kira gratis,1,gw kira gratis
2022-07-10,"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak",1,"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak"
2020-09-05,Aplikasi ini belum tersedia di Apple tv,4,Aplikasi ini belum tersedia di Apple tv
2020-09-09,"I love this app, because it has a lot of content and has a great UI.",5,"Saya suka aplikasi ini, karena kontennya banyak dan UI-nya bagus."
2022-04-15,please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature,5,harap tambahkan fitur audio spasial harap tambahkan fitur audio spasial harap tambahkan fitur audio spasial harap tambahkan fitur audio spasial harap tambahkan fitur audio spasial
2022-10-09,"Semoga bisa langganan terus, film nya bikin nagih. 😊",5,"Semoga saya bisa terus berlangganan, filmnya membuat saya membayar. 😊"
2022-11-01,"Tidak bisa verify dana, sudah beberapa jam nunggu gaada kode verify yang terkirim, padahal nomornya sudah benar, saya jadi tidak bisa berlangganan via dana, tolong segera di fiks, agar proses pembayaran berlangganan berjalan lancar.",2,"Tidak bisa verify dana, sudah beberapa jam nunggu gaada kode verify yang terkirim, padahal nomornya sudah benar, saya jadi tidak bisa berlangganan via dana, tolong segera di fiks, agar proses pembayaran berlangganan berjalan lancar."
2022-02-22,Kok ga update lagi… mana eps ya baru?,2,Kok ga update lagi… mana eps ya baru?
2022-10-27,Super jelek bgt di mi tv terjadi kesalahan mulu disney nya perbaikin lg dong!,1,Super jelek bgt di mi tv terjadi kesalahan mulu disney nya perbaikin lg dong!
2022-03-19,"Kenapa bnyak film g bisa d tonton y, keterangannya kesalahan DRM (PL 1206)",2,"Kenapa bnyak film g bisa d tonton y, keterangannya kesalahan DRM (PL 1206)"
2020-09-06,"No option available to cast the movies to chromecast, why ?",4,"Tidak ada opsi yang tersedia untuk mentransmisikan film ke chromecast, mengapa?"
2022-04-10,Cant log in because very hard to get OTP,1,Tidak bisa login karena sangat sulit mendapatkan OTP
2020-10-27,Tambahkan seoson 2 serial RadhaKrishna plizz🙏🏻,3,Tambahkan seoson 2 serial RadhaKrishna plizz🙏🏻
2022-06-13,Kode otp tidak dikirimkan sangat lama,1,Kode otp tidak dikirimkan sangat lama
2020-09-07,"Overall sudah cukup stabil, fitur download berjalan lancar hanya saja kirim SMS OTP tidak terkirim-kirim, yang berjalan lancar ketika request OTP via call",5,"Overall sudah cukup stabil, fitur download berjalan lancar hanya saja kirim SMS OTP tidak terkirim-kirim, yang berjalan lancar ketika request OTP via call"
2020-09-30,"After playing properly in my Xiaomi TV for weeks, the app suddenly asked me to log out & log in again. Funnily, when it asked me to log in from the website again, there is no option for my region. It was only for India...
When I asked the tech support, they kept asking  me if I use VPN, blah blah blah.... For goodness sake, the problem is in your website login, not on my device!!! 😡😡😡😡

Seriously, learn from Netflix’s UI/UX!",2,"Setelah diputar dengan benar di TV Xiaomi saya selama berminggu-minggu, aplikasi tiba-tiba meminta saya untuk logout & login lagi. Lucunya, ketika saya diminta masuk lagi dari situs web, tidak ada pilihan untuk wilayah saya. Itu hanya untuk India...
Ketika saya bertanya kepada dukungan teknis, mereka terus bertanya apakah saya menggunakan VPN, bla bla bla.... Demi Tuhan, masalahnya ada di login situs web Anda, bukan di perangkat saya!!! 😡😡😡😡

Serius, belajarlah dari UI/UX Netflix!"
2020-09-13,Please enable Airplay option and provide app for AppleTV. Also we need 4K / HDR contents. We’re stuck watching on small screens,5,Harap aktifkan opsi Airplay dan sediakan aplikasi untuk AppleTV. Kami juga membutuhkan konten 4K / HDR. Kami terjebak menonton di layar kecil
2022-01-09,Do I really need to confirm if I’m 20+ every time? It’s not a really great experience when watching a series,5,Apakah saya benar-benar perlu memastikan apakah saya berusia 20+ setiap saat? Ini bukan pengalaman yang luar biasa saat menonton serial
2020-12-02,can we pleaseee have miraculous : tales of ladybug?? they have it on disney+ US..,5,bisakah kita mendapatkan keajaiban: kisah kepik?? mereka memilikinya di Disney+ AS..
2022-09-23,Im subscribe 1 year. But now I’m can’t login… what happens.. please help,5,Saya berlangganan 1 tahun. Tapi sekarang saya tidak bisa login… apa yang terjadi.. mohon bantuannya
2020-09-05,Nanti kalo udah bisa chrome cast ke tv baru dikasih bintang 5,3,Nanti kalau bisa chromecast ke TV baru akan diberikan bintang 5
2022-02-24,I wanna free not buy,1,Saya ingin gratis bukan membeli
2022-11-19,I’ve subscribed to disney+ when I was in my home country and i am asked to subscribe again when i am at another country. I would prefer another app for watching movie just because of this policy then.,3,Saya telah berlangganan Disney+ ketika saya berada di negara asal saya dan saya diminta untuk berlangganan lagi ketika saya berada di negara lain. Saya lebih memilih aplikasi lain untuk menonton film hanya karena kebijakan ini.
2020-11-28,"Just wasted Rp. 199,000,- just to purchase a yearly subscription service without any chance to be able to watch it on my TV by using Apple Digital AV Adapter to HDMI. Watching on iPhone or iPad is tiring. What is the meaning of purchasing Disney+ service if it’s can’t be enjoyed by the whole family members on TV screen? It doesn’t make sense! I want my money back.",1,"Hanya membuang Rp. 199.000,- hanya untuk membeli layanan berlangganan tahunan tanpa ada kesempatan untuk bisa menontonnya di TV saya dengan menggunakan Apple Digital AV Adapter to HDMI. Menonton di iPhone atau iPad memang melelahkan. Apalah gunanya membeli layanan Disney+ jika tidak bisa dinikmati seluruh anggota keluarga di layar TV? Itu tidak masuk akal! Saya ingin uang saya kembali."
2022-05-18,Banyak series dan movie yang bagus ditonton,5,Banyak series dan movie yang bagus ditonton
2020-09-06,"it’s pathetic Disney has million good movies but can only watch in mobile phone and can’t be cast to smart TV 

you’re not supposed to limit the application like that. 
So dissapointed ! i already subscribed for 1 year.

your rate will be the best after you upgrade the capability your apps to be able to cast to smart TV",1,"sungguh menyedihkan Disney memiliki jutaan film bagus tetapi hanya dapat ditonton di ponsel dan tidak dapat disiarkan ke smart TV 

Anda tidak seharusnya membatasi aplikasi seperti itu. 
Sangat kecewa! saya sudah berlangganan selama 1 tahun.

tarif Anda akan menjadi yang terbaik setelah Anda meningkatkan kemampuan aplikasi Anda agar dapat ditransmisikan ke smart TV"
2020-10-11,"Hello disney+hotstar, please read my review, i m so glad if you put the series The replacements on disney channel thankyou",5,"Halo disney+hotstar, silakan baca ulasan saya, saya sangat senang jika Anda memasang serial Penggantinya di saluran Disney, terima kasih"
2020-10-15,Kebanyakan iklan bikin kesel,1,Kebanyakan iklan bikin kesel
2020-09-05,"Hello, i think it’s very inappropriate for disney+ to show indonesian and other horrific movies. If you choose to show scary movies, simply haunted mansion, halloween town movies, nightmare before Christmas, corpse bride, hocus pocus and other disney related halloween movies and shows. Please rethink and review the horror movies in disney+ hotstar. Also, there are a lot of disney movies and shows that are not in disney+ hotstar",2,"Halo, menurutku sangat tidak pantas jika Disney+ menayangkan film Indonesia dan film horor lainnya. Jika Anda memilih untuk menayangkan film menakutkan, cukup rumah berhantu, film kota halloween, mimpi buruk sebelum Natal, pengantin mayat, fokus fokus, dan film serta acara halloween terkait Disney lainnya. Harap pikirkan kembali dan ulas film horor di Disney+ Hotstar. Selain itu, ada banyak film dan acara Disney yang tidak ada di Disney+ Hotstar"
2020-09-05,Belum bs connect pakai chromecast,3,Belum bs connect pakai chromecast
2022-03-13,"Buat log in pakai no hp tidak dapat kode otp, susah banget sampai harus pakai 3 no hp tetap tidak dapat kode otp",1,"Buat log in pakai no hp tidak dapat kode otp, susah banget sampai harus pakai 3 no hp tetap tidak dapat kode otp"
2020-11-06,Unlimited bugs! Streams really slow while I don’t have any issue with other similar. Downloading fails 9 out of 10. Interface really not user friendly. Often fails when i try to stream. Really poor app!!!,1,Bug tidak terbatas! Streaming sangat lambat sementara saya tidak punya masalah dengan hal serupa lainnya. Pengunduhan gagal 9 dari 10. Antarmuka benar-benar tidak ramah pengguna. Sering gagal ketika saya mencoba streaming. Aplikasi yang sangat buruk!!!
2022-08-09,Kode otp ga dikirim2 woy 😌,1,Kode otp ga dikirim2 woy 😌
2020-09-17,"Please fix this, iPadOs 13. Thanks:)",5,"Harap perbaiki ini, iPadOs 13. Terima kasih :)"
2022-12-01,Otp aja gk masuk2 sia2 langganan! Anjing!,1,Otp aja gk masuk2 sia2 langganan! Anjing!
2020-09-27,kualitasny jelek bgt pdhl udh diganti  ama yg tinggi tp ttp jelek gmn sih,1,kualitasny jelek bgt pdhl udh diganti  ama yg tinggi tp ttp jelek gmn sih
2020-10-02,Lag. My connection 100Mbps,1,Ketinggalan. Koneksi saya 100Mbps
2022-06-30,Ntn LEGEND OF HAOLAN kirain lengkap ternyata cmn Stgh nya aja dari jumlah 60 lebih episode cmn ada 30 pedahal film sudah lama,1,Ntn LEGEND OF HAOLAN kirain lengkap ternyata cmn Stgh nya aja dari jumlah 60 lebih episode cmn ada 30 pedahal film sudah lama
2020-09-09,"Easy to use and the UI awesome. But need improvement in screen mirroring, both on iphone or androids.",4,"Mudah digunakan dan UI luar biasa. Namun perlu perbaikan dalam screen mirroring, baik di iphone maupun android."
2022-05-25,ketika anda dalam keadaan dan situasi apapun mungkin butuh sesuatu utk menghibur atau hanya utk mengisi kekosongan waktu anda tidak perlu melamun dan bingung gunakan jempol cukup tekan Disney pilih mana yg sesuai dgn hati anda akan terhibur setiap waktu,5,ketika anda dalam keadaan dan situasi apapun mungkin butuh sesuatu utk menghibur atau hanya utk mengisi kekosongan waktu anda tidak perlu melamun dan bingung gunakan jempol cukup tekan Disney pilih mana yg sesuai dgn hati anda akan terhibur setiap waktu
2022-11-18,"Sering log out out of nowhere, begitu login susah setengah mati!!! Mau login lagi nunggu kode verifikasinya lama bet lama. Hadehhh. Dulu sms susah bgt lah terus dapat tuh WA notifnya ga ada keren2nya banget dah, beli WA business kek yg pake badge, dapet WA notifikasi verifikasi ga ada foto, ga ada badge pula, YONI International Pte Ltd siape bos??? Kasih nama kek Disney Plus, kaga modal banget dah asli.",2,"Sering log out out of nowhere, begitu login susah setengah mati!!! Mau login lagi nunggu kode verifikasinya lama bet lama. Hadehhh. Dulu sms susah bgt lah terus dapat tuh WA notifnya ga ada keren2nya banget dah, beli WA business kek yg pake badge, dapet WA notifikasi verifikasi ga ada foto, ga ada badge pula, YONI International Pte Ltd siape bos??? Kasih nama kek Disney Plus, kaga modal banget dah asli."
2020-09-05,"Keren ini, terobosan baru, ada dubbing bahasa indonesia, jd lebih enak ditonton, joss",5,"Keren ini, terobosan baru, ada dubbing bahasa indonesia, jd lebih enak ditonton, joss"
2022-06-28,"The collection of things to watch are growing, but the app still has issues, lots of complaints that the app doesnt allow you to share the screen to bigger devices, some of us still use not so smart tv and watch it the old ways with hdmi port to our beloved phone or ipad, and sadly the app doesnt allow that. And then there is the problem of keep logging out from my account, and when trying to log in the verification code just never arrived, please help us fix these, thanks",3,"Koleksi tontonan bertambah, namun aplikasinya masih bermasalah, banyak keluhan karena aplikasi tidak mengizinkan Anda berbagi layar ke perangkat yang lebih besar, sebagian dari kita masih menggunakan TV yang tidak terlalu pintar dan menontonnya dengan cara lama dengan port HDMI ke ponsel atau iPad kesayangan kita, dan sayangnya aplikasi tidak mengizinkannya. Dan kemudian ada masalah terus keluar dari akun saya, dan ketika mencoba masuk kode verifikasi tidak pernah sampai, tolong bantu kami memperbaikinya, terima kasih"
2020-09-05,Ini ga bisa di chromecasting?,2,Ini ga bisa di chromecasting?
2022-10-18,Daftar pakai akun nomor hp tapi tidak ditemukan akunnya aneh banget!,2,Daftar pakai akun nomor hp tapi tidak ditemukan akunnya aneh banget!
2020-09-04,Seriously 2020 and I cant cast it to my TV????,4,Serius tahun 2020 dan saya tidak bisa menayangkannya ke TV saya????
2020-09-04,"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp 🔥",5,"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp 🔥"
2022-01-13,"Saran min, tambahkan fitur parental code untuk konten dengan kategori 17+ karena “mode anak” saja tidak cukup. Terlalu riskan bagi saya orang tua yang punya anak dibawah umur. Terima kasih",5,"Saran min, tambahkan fitur parental code untuk konten dengan kategori 17+ karena “mode anak” saja tidak cukup. Terlalu riskan bagi saya orang tua yang punya anak dibawah umur. Terima kasih"
2020-10-09,Subscribed for one year & being logged out everytime i watch. Very bad service,1,Berlangganan selama satu tahun & logout setiap kali saya menonton. Pelayanan yang sangat buruk
2020-09-06,It’s 2020! Even the cheapest streaming apps allow you to cast! Even the illegal streaming sites allow you to cast! C’mon!!!,3,Ini tahun 2020! Bahkan aplikasi streaming termurah pun memungkinkan Anda melakukan transmisi! Bahkan situs streaming ilegal mengizinkan Anda melakukan transmisi! Ayo!!!
2022-03-09,….,5,….
2022-08-24,"Setiap mau download, unduhannya tiba2 tercancel padahal jaringan wifi baik2 aja, rugi berlangganan",1,"Setiap mau download, unduhannya tiba2 tercancel padahal jaringan wifi baik2 aja, rugi berlangganan"
2022-03-06,So sad,2,Sedih sekali
2022-03-23,"This is the 2nd year i subsribe into this platform
Altough im not very impressed i still buy because i love disney film and marvel
And still compare to other platform this app is not so enjoyable

Honestly if you can give us filter to access every movie starred by some actor or else it will be so much better

And i can understand that being in different region means our access to some movie is limited, but some big show like marvel’s daredevil is released in usa but not in our country? 

Do you still prefer us to chose another platform? Pfft",2,"Ini adalah tahun ke-2 saya berlangganan platform ini
Meskipun saya tidak terlalu terkesan, saya tetap membelinya karena saya suka film Disney dan Marvel
Dan masih dibandingkan dengan platform lain, aplikasi ini tidak begitu menyenangkan

Jujur saja jika Anda bisa memberi kami filter untuk mengakses setiap film yang dibintangi oleh beberapa aktor atau yang lain itu akan jauh lebih baik

Dan saya dapat memahami bahwa berada di wilayah yang berbeda berarti akses kita terhadap beberapa film terbatas, namun beberapa pertunjukan besar seperti Marvel’s Daredevil dirilis di AS tetapi tidak di negara kami? 

Apakah Anda masih lebih suka kami memilih platform lain? Pfft"
2022-07-19,"Berkali-kali mencoba login, tp gk dapet2 OTP -_-",1,"Berkali-kali mencoba login, tp gk dapet2 OTP -_-"
2020-09-28,banyakin film comedi dongg,4,banyakin film comedi dongg
2022-06-12,Tidak bisa login dan tidak mendapatkan kode otp,1,Tidak bisa login dan tidak mendapatkan kode otp
2020-09-17,"Semoga cepat ada di apple tv, atau kalo ga ya minimal bisa di screen mirroring lah. Uda ga jaman soalnya nyambungin laptop ke TV..",2,"Semoga cepat ada di apple tv, atau kalo ga ya minimal bisa di screen mirroring lah. Uda ga jaman soalnya nyambungin laptop ke TV.."
2020-09-22,I can’t believe no Apple TV support. Please make it happen!,4,Saya tidak percaya tidak ada dukungan Apple TV. Tolong wujudkan!
2020-10-05,kasi history dong biar ada bekas kita nonton mau di cari lagi kan gampang,5,kasi history dong biar ada bekas kita nonton mau di cari lagi kan gampang
2022-11-15,Download it just to watch shin ye eun<3,5,Unduh hanya untuk menonton shin ye eun<3
2020-10-20,"this app is so good! i really love it,but can you please add miraculous ladybug please?? i really appreciate if you could🖤, thank you!!🖤🖤",5,"aplikasi ini sangat bagus! Saya sangat menyukainya, tapi bisakah Anda menambahkan kepik ajaib?? saya sangat menghargai jika Anda bisa🖤, terima kasih!!🖤🖤"
2020-09-05,"Masih belum support di smarttv, kalau dah support baru subscribe premium dan bintang 5... secepatnya please 🙏🏻",3,"Masih belum support di smarttv, kalau dah support baru subscribe premium dan bintang 5... secepatnya please 🙏🏻"
2022-08-21,Berhenti langganan dan masih ada waktu sampe 16 september tapi belum nyampe 16 september udh gabisa nonton! terus sia sia dong gw bayar yg sebulan ini hffttt-___-,2,Berhenti langganan dan masih ada waktu sampe 16 september tapi belum nyampe 16 september udh gabisa nonton! terus sia sia dong gw bayar yg sebulan ini hffttt-___-
2020-12-06,Already purchased but still can’t watch movies,1,Sudah dibeli tapi masih belum bisa nonton film
2020-09-13,Please give option icon to lock screen when play movie,4,Tolong beri ikon opsi untuk mengunci layar saat memutar film
2022-06-23,Didn't get fckn otp,1,Tidak mendapat otp
2022-08-23,Enak dan mudah untuk mencari flim yang trending … dan seru,5,Enak dan mudah untuk mencari flim yang trending … dan seru
2022-01-02,it isn’t available on my smart tv so i have to use my phone everytimeee. please make it available on smart tvs!,5,itu tidak tersedia di smart tv saya jadi saya harus menggunakan ponsel saya setiap saat. tolong sediakan di smart TV!
2022-02-22,Downloaded video can't be played until the end of the video🥲,2,Video yang diunduh tidak dapat diputar hingga akhir video🥲
2022-06-05,"Ga ada yg malaysiaa
Mau nonton Melur untuk Firdaus 😭😭😭",5,"Ga ada yg malaysiaa
Mau nonton Melur untuk Firdaus 😭😭😭"
2020-10-07,Tolong sediakan juga subtitle Englishnya 😭,4,Tolong sediakan juga subtitle Englishnya 😭
2020-09-20,"Aplikasi konten hiburan film/series kesukaan aku. Terima kasih telah mengumpulkan semua koleksi Disney, Marvel, Star Wars universe, dan lainnya",5,"Aplikasi konten hiburan film/series kesukaan aku. Terima kasih telah mengumpulkan semua koleksi Disney, Marvel, Star Wars universe, dan lainnya"
2020-11-25,Where's Taylor Swift performance? Isn't available in Indonesia?☹️ come on dude,1,Di mana penampilan Taylor Swift? Apakah di Indonesia belum tersedia?☹️ yuk sobat
2022-07-04,"nice , topzzz",5,"bagus, topzzz"
2020-09-20,"Finally they listened, new version with chromecast enabled!",5,"Akhirnya mereka mendengarkan, versi baru dengan chromecast diaktifkan!"
2022-04-27,"Menjijikkan, nonton 1 film selalu buffering….",1,"Menjijikkan, nonton 1 film selalu buffering…."
2020-09-06,There is no option to cast to smart tv please fix this,5,"Tidak ada opsi untuk mentransmisi ke smart tv, harap perbaiki ini"
2020-09-09,"No Mulan, No other great movies/serial from Disney. Just disappointed as one of the first subscribers. Instagram admins don’t reply to all comments/dms. They just choose the questions which they could answer or just common questions",1,"Tidak Mulan, Tidak ada film/serial hebat lainnya dari Disney. Hanya kecewa sebagai salah satu pelanggan pertama. Admin Instagram tidak membalas semua komentar/dms. Mereka tinggal memilih pertanyaan-pertanyaan yang bisa mereka jawab atau hanya pertanyaan-pertanyaan umum"
2020-09-09,"This app is a solid 9.5/10 the price is cheap for an annual subscription, and there are a lot ot diffrent movies to watch.",5,"Aplikasi ini solid 9,5/10, harganya murah untuk langganan tahunan, dan ada banyak film berbeda untuk ditonton."
2022-12-27,"Aplikasi ribet mau sambungin ke tv , update dong supaya pakek code barcode jadi gampang masukin nya",2,"Aplikasi rivet mau konek ke TV, mohon diupdate agar menggunakan barcode agar mudah masuk"
2022-06-29,"My connection wasn’t that bad but when i play a film its always say Error for nothing, please disney fix your fckng Srver!",1,"Koneksiku tidak terlalu buruk tapi ketika aku memutar film selalu muncul tulisan Error for Nothing, mohon disney perbaiki Fckng Srver-mu!"
2020-09-06,I get to watch Disney movies that haven’t been released in the cinema because of the pandemic,5,Saya bisa menonton film Disney yang belum tayang di bioskop karena pandemi
2020-09-19,"ga bisa ke apple tv, ga bisa 4k...",1,"ga bisa ke apple tv, ga bisa 4k..."
2020-09-07,Cant receive any sms from disney+ for the verification code. I tried many times. Help pls?,3,Tidak dapat menerima sms apa pun dari disney+ untuk kode verifikasi. Saya mencoba berkali-kali. Tolong bantu?
2022-05-04,Please fix OTP issue!!,4,Tolong perbaiki masalah OTP!!
2022-02-10,"Hotstar needs to get their stuff together. You can’t play anything while connected TV or monitor.  Netflix, HBO, even other local streaming works just fine. Why the uncessary security feature? It’s the same as disabling the audio when you use an earphone instead of the built-in speaker. Ridiculous! Plus you can easily circumvent this if logged in and playing via browser. This “feature” needs to be removed immediately. Also, being connected to VPN or Private DNS automatically logs you out and deletes all your previously downloaded shows and movies. This is totally unecessary as well. If you want people not to use VPN or Private DNS while using the app you can simply warn them. Why forced logged out and removal of files?",2,"Hotstar perlu membereskan barang-barang mereka. Anda tidak dapat memutar apa pun saat TV atau monitor tersambung.  Netflix, HBO, bahkan streaming lokal lainnya berfungsi dengan baik. Mengapa fitur keamanan tidak diperlukan? Ini sama dengan menonaktifkan audio saat Anda menggunakan earphone dan bukan speaker internal. Konyol! Ditambah lagi Anda dapat dengan mudah menghindari hal ini jika login dan bermain melalui browser. “Fitur” ini perlu segera dihapus. Selain itu, terhubung ke VPN atau DNS Pribadi secara otomatis mengeluarkan Anda dan menghapus semua acara dan film yang Anda unduh sebelumnya. Ini juga sama sekali tidak perlu. Jika Anda ingin orang-orang tidak menggunakan VPN atau DNS Pribadi saat menggunakan aplikasi, Anda cukup memperingatkan mereka. Mengapa terpaksa keluar dan menghapus file?"
2022-06-12,LAMA BGT KIRIM KODE VERIFIKASI !!! Makin kesini makin jelek!,1,LAMA BGT KIRIM KODE VERIFIKASI !!! Makin kesini makin jelek!
